feature_set,model,n_features_raw,MAE_log,RMSE_log,R2_log,MAE_original,RMSE_original,MedianAE_original
staff,Lasso,19,1.0532144709311837,1.3032919668253526,0.4995182214910494,58036.40387128754,216857.07667263332,13404.787083340212
staff,GradientBoosting,19,1.0304889152147696,1.304267629670728,0.49876860549829105,53520.708332504706,208129.38932337813,14094.358955840466
staff,Ridge,19,1.054815548883235,1.3051304290729,0.4981052367556943,58056.66621219449,217002.44117400845,13358.674584791117
staff,RandomForest,19,1.0161305459927126,1.3067990499755102,0.4968210624969911,52937.20860435723,208619.79096946758,13055.190283582871
staff,LinearRegression,19,1.0572655042661385,1.3073621657204384,0.49638731710776607,58202.00263081236,217017.8698201771,13609.72134632708
extended,ExtraTrees,12,1.067488836591527,1.321724005752134,0.4852618119471579,55580.1865622602,209990.03876152667,13655.682948936264
extended,Lasso,12,1.0740155535827678,1.3226471930179955,0.4845425003582621,57756.00529039318,212247.02120596936,15406.941793307824
extended,Ridge,12,1.0754732323913094,1.3237331990239323,0.4836956838209666,57782.396459512136,212359.4828926351,15490.326026542103
extended,LinearRegression,12,1.0769028936333074,1.3253322306202704,0.48244756893177587,57870.5811943537,212399.92532012225,15593.730555427988
extended,GradientBoosting,12,1.053378131392618,1.3285959399791234,0.4798954231700091,54718.11915121492,208344.49527714032,14419.948411824535
staff,ExtraTrees,19,1.034372726785446,1.3313538069099902,0.4777339414215638,54932.97823911062,210800.64485054536,11209.033010660607
basic,GradientBoosting,9,1.0800787631913658,1.3661851744193079,0.45004903318093625,57782.37492243023,212187.67408426944,14284.831932978794
basic,Lasso,9,1.1094514547380623,1.3752919734753046,0.4426928045681907,56976.720574100895,209592.56988435242,14708.92896240169
basic,Ridge,9,1.1086825635945536,1.3755014901972349,0.44252298743386276,56946.6285316182,209539.4625745349,14483.735362186791
basic,ExtraTrees,9,1.1018057451389056,1.3762078361603363,0.4419502905015267,60626.93962082741,216319.36233811398,13741.091798611214
basic,LinearRegression,9,1.1096277855650585,1.3765739258982614,0.4416533536010022,56995.291488794384,209547.67520800928,14709.654349312887
extended,RandomForest,12,1.087242756730922,1.384181381539235,0.43546504193819635,56261.00614993861,209805.05668729657,15713.93860038017
basic,RandomForest,9,1.1327918962463663,1.4251209901544692,0.40157695864372933,61194.753258074976,220815.78230287234,16066.857662882405
basic,Dummy_mean,9,1.4824811166005343,1.842293892977789,-5.2174513609060114e-05,67111.40070514705,222901.01719764253,16693.574510293936
extended,Dummy_mean,12,1.4824811166005343,1.842293892977789,-5.2174513609060114e-05,67111.40070514705,222901.01719764253,16693.574510293936
staff,Dummy_mean,19,1.4824811166005343,1.842293892977789,-5.2174513609060114e-05,67111.40070514705,222901.01719764253,16693.574510293936
