CTPRVN_NM,n,mean_error_log,median_abs_error_log,mean_abs_error_log,mean_abs_error_viewers
전북특별자치도,8,0.8457296665937764,1.2605866287845808,1.5001539698509638,104853.3872614383
경북,16,0.13877810628106635,1.114809089581791,1.4189961948928747,58113.451295219005
대전,4,-0.6381426148539278,1.6151790732786266,1.4079090952718978,16853.763636078904
강원,2,-0.8501119234237455,1.3661246812401098,1.3661246812401098,8121.702729553146
전남,19,0.049471646727483845,1.198123379077595,1.2811203786183476,33149.125476014924
부산,8,-0.5007510283196912,0.9775211441498772,1.154063252343099,22897.389029560025
충북,12,0.8250605658155269,0.8538594426259163,1.153922939798308,39370.431348647595
충남,13,-0.11306548632842385,0.7371524534661695,1.0992128446251874,241957.31408453156
서울,39,0.25200999729870194,1.013566205233884,1.06044474490533,89639.03081055936
전북,5,-0.08728169580419128,0.555176466736576,0.9914694810942966,13678.996483383564
인천,9,0.524821196151609,0.7945440665384584,0.991235735532887,42744.54120183036
강원특별자치도,14,0.42169560268861567,1.0569026881096093,0.9812807579606483,39177.743475759074
대구,7,0.657957190244557,0.6678524623184501,0.9543037820280015,49290.76050848019
경기,39,-0.4634579649954097,0.8201977981933588,0.9527802675250112,30684.808831106973
광주,2,-0.862964813751125,0.862964813751125,0.862964813751125,9836.55127911855
경남,14,-0.19547182753062517,0.5797224157483347,0.7266724621659121,27845.01920513998
제주특별자치도,10,-0.47838723873019584,0.485046641464292,0.6497579870059337,38436.173067923904
제주,6,-0.3567981773845827,0.5107980587389607,0.6121581522238152,17223.24618637019
울산,1,0.4710328045247607,0.4710328045247607,0.4710328045247607,12642.637565660563
