facility_type,variable,n,spearman_rho,p_value,sig
미술관,ARTGR_EMP_CO,198,0.3695364109568886,8.425174299905533e-08,***
박물관,ARTGR_EMP_CO,322,0.17236210097821983,0.0019081795190059897,**
미술관,CNTRCT_EMP_CO,46,0.4847253623295309,0.0006405909590678967,***
박물관,CNTRCT_EMP_CO,124,0.33178968591240793,0.00016691752680390737,***
미술관,GNRL_GVRNM_EMP_CO,40,0.6279607066898054,1.4398072672318621e-05,***
박물관,GNRL_GVRNM_EMP_CO,248,0.6120447305629151,6.980668159863093e-27,***
미술관,LOG1P_DATA_CO,156,0.3307755167563114,2.470278295418223e-05,***
박물관,LOG1P_DATA_CO,485,0.10284132325442014,0.02351209430789187,*
미술관,LOG1P_DATA_SPCE_AR_VALUE,171,0.2828112219764932,0.00017830845526702293,***
박물관,LOG1P_DATA_SPCE_AR_VALUE,486,0.24670089830832143,3.588192442609196e-08,***
미술관,LOG1P_EDC_FCLTY_AR_VALUE,200,0.4209143238269299,5.433298195753187e-10,***
박물관,LOG1P_EDC_FCLTY_AR_VALUE,634,0.3232294405893656,6.957011330841084e-17,***
미술관,LOG1P_LND_AR_VALUE,278,0.38076638006200836,5.060277279742479e-11,***
박물관,LOG1P_LND_AR_VALUE,849,0.49278884073687573,3.7966397321284364e-53,***
미술관,LOG1P_NMPR_CO,281,0.42700142594158497,7.018871079382497e-14,***
박물관,LOG1P_NMPR_CO,352,0.38221679197777503,1.09017549350772e-13,***
미술관,LOG1P_TOT_PROGRM_CO,225,0.19177220453169008,0.003884291687805193,**
박물관,LOG1P_TOT_PROGRM_CO,670,0.2626364130836662,4.9468102443331506e-12,***
미술관,OPERATING_YEARS,281,0.02447315284793967,0.6829232859955257,n.s.
박물관,OPERATING_YEARS,856,-0.037047017516049545,0.27894599958235833,n.s.
미술관,OPNNG_DAY_CO,281,0.21884234231022737,0.00021813967727501779,***
박물관,OPNNG_DAY_CO,855,0.569703568641962,9.949640429533851e-75,***
미술관,PRFSN_CO,72,0.18208497545396007,0.12581136915739136,n.s.
박물관,PRFSN_CO,133,0.2702482456333194,0.0016552698174308615,**
미술관,PRVATE_VLNTER_CO,31,0.007725768639713139,0.9670981026244468,n.s.
박물관,PRVATE_VLNTER_CO,83,0.2010389068616908,0.06838980017533093,n.s.
미술관,PUBLIC_VLNTER_CO,40,0.3548191355801945,0.02466753661305513,*
박물관,PUBLIC_VLNTER_CO,143,0.3248933629833643,7.526092635607074e-05,***
미술관,QUALF_HOLD_CO,281,0.4088526789256472,9.508161954614888e-13,***
박물관,QUALF_HOLD_CO,142,0.23690854945406858,0.004530259462990711,**
