importance_rank,feature,display_name,factor_group,importance_mean,importance_std,n,missing_rate,pearson_r,pearson_p,spearman_rho,spearman_p
1,OPNNG_DAY_CO,개관일수,운영,0.1796324779842991,0.0159277288545028,1136.0,0.0008795074758135,0.4490449903061851,1.8493397078187009e-57,0.4869566609202534,1.0872179316748743e-68
2,LOG1P_NMPR_CO,인원 수(로그),인력,0.1141517200224558,0.0298735774738152,633.0,0.4432717678100263,0.1819900159997169,4.060461050871238e-06,0.1402401322908837,0.0004017983029162
3,LOG1P_LND_AR_VALUE,토지면적(로그),시설 규모,0.0791165869727644,0.0162455952335735,1127.0,0.0087950747581354,0.4475909534927568,1.2848357692447898e-56,0.474638905770904,2.1971578740925537e-64
4,ARTGR_EMP_CO,학예 인력,인력,0.0576855722137731,0.0102756533241262,520.0,0.5426561125769569,-0.0090893006105586,0.8361868130230117,0.2421414414310058,2.2471100505120904e-08
5,facility_type,시설 유형,시설 유형,0.0376671584878582,0.0083754541541506,,,,,,
6,LOG1P_TOT_PROGRM_CO,프로그램 수(로그),프로그램,0.0363369476175766,0.0102424711073307,895.0,0.2128408091468777,0.2725820630990024,1.0323189470892328e-16,0.243965748551095,1.3565489061238744e-13
7,MOBILE_PROVD_AT,모바일 제공 여부,서비스,0.0287425140703836,0.0106003010257764,,,,,,
8,LOG1P_EDC_FCLTY_AR_VALUE,교육시설면적(로그),시설 규모,0.0185363470347288,0.0045434180795854,834.0,0.2664907651715039,0.3682012708773927,3.560886547064365e-28,0.360598098065669,5.186584100480482e-27
9,PRVATE_VLNTER_CO,PRVATE_VLNTER_CO,기타,0.0184086512519351,0.0065418983152711,,,,,,
10,LOG1P_DATA_CO,소장자료 수(로그),소장자료,0.0183697737888242,0.007725598631392,641.0,0.436235708003518,0.1876876055592326,1.7083061775847626e-06,0.1652643067733209,2.6115279710057823e-05
11,GNRL_GVRNM_EMP_CO,일반 정부 인력,인력,0.0172974548542074,0.0086639756295826,288.0,0.7467018469656992,0.482295369538241,3.488398100822959e-18,0.6151084871019769,2.2814296754317e-31
12,QUALF_HOLD_CO,자격 보유자 수,인력,0.0128368980801752,0.0070067969928427,423.0,0.6279683377308707,0.327135971070078,5.2363102880075295e-12,0.5113402626494072,1.4777882163228046e-29
13,CTPRVN_NM,CTPRVN_NM,기타,0.0056771898904459,0.009735479373171,,,,,,
14,SOUND_PROVD_AT,음성 제공 여부,서비스,0.0028545555288289,0.0040267788189926,,,,,,
15,PUBLIC_VLNTER_CO,PUBLIC_VLNTER_CO,기타,0.0013934853196119,0.0014264869538746,,,,,,
16,CNTRCT_EMP_CO,CNTRCT_EMP_CO,기타,0.0012622704681221,0.0011814242775717,,,,,,
17,LOG1P_DATA_SPCE_AR_VALUE,자료공간면적(로그),시설 규모,0.000870884622707,0.0029832250852464,657.0,0.4221635883905013,0.288237939397687,4.900791253054245e-14,0.2646601809991597,5.418434134495153e-12
18,OPERATING_YEARS,OPERATING_YEARS,기타,0.0,0.0,,,,,,
19,PRFSN_CO,PRFSN_CO,기타,-0.004946973352325,0.0048274325180187,,,,,,
