REGION_GROUP_STD,CTPRVN_NM_STD,facility_count,museum_count,art_gallery_count,mean_viewers,median_viewers,total_viewers,mean_log_viewers,median_log_viewers,mean_operating_years,median_land_area,median_education_area,median_program_count,mobile_provided_rate,sound_provided_rate,prediction_count,mean_error_viewers,median_abs_error_viewers,museum_ratio,art_gallery_ratio
제주권,제주특별자치도,82,61,21,123321.53246753247,64071.0,9495758.0,10.925258365412109,11.06776273000352,18.524390243902438,18000.0,150.0,3.5,0.19753086419753085,0.20253164556962025,16,-19898.50811880011,19359.189304891413,0.7439024390243902,0.25609756097560976
경상권,울산,11,10,1,72789.63636363637,34640.0,800686.0,10.765902298952803,10.452793230619966,13.727272727272727,6182.0,80.0,8.5,0.18181818181818182,0.0,1,12642.637565660563,12642.637565660563,0.9090909090909091,0.09090909090909091
수도권,인천,37,30,7,57082.52777777778,29320.5,2054971.0,9.75352124990498,10.281883314102501,17.35135135135135,3475.0,103.5,6.0,0.16666666666666666,0.10810810810810811,9,41629.65365810905,17732.492106617763,0.8108108108108109,0.1891891891891892
경상권,경북,82,70,12,66986.21518987342,25106.0,5291911.0,9.86932891338173,10.130901970700984,20.378048780487806,9804.0,180.0,4.0,0.18292682926829268,0.12195121951219512,16,41688.24863073029,24074.541548426634,0.8536585365853658,0.14634146341463414
경상권,경남,85,75,10,56053.90243902439,24434.0,4596420.0,10.000497951586668,10.102374139647317,20.129411764705882,9808.0,162.0,6.0,0.20238095238095238,0.11904761904761904,14,8056.417345003977,7013.551779605721,0.8823529411764706,0.11764705882352941
수도권,경기,186,127,59,53165.50543478261,20115.0,9782453.0,9.608145775190986,9.909270619361799,17.817204301075268,4942.0,133.0,7.0,0.24864864864864866,0.12432432432432433,39,3314.0935943454374,12882.616870358455,0.6827956989247311,0.3172043010752688
충청권,충남,75,64,11,140097.65714285715,18929.5,9806836.0,9.900869017247041,9.848306928283193,20.706666666666667,8149.5,122.0,4.0,0.21333333333333335,0.09333333333333334,13,213878.69254904488,13108.204475517232,0.8533333333333334,0.14666666666666667
전라권,전북특별자치도,63,42,21,67035.03448275862,17919.0,3888032.0,9.879951346332247,9.793662470820987,17.349206349206348,8059.0,158.0,6.0,0.20634920634920634,0.07936507936507936,13,66186.53441091719,28278.964565875074,0.6666666666666666,0.3333333333333333
경상권,부산,42,33,9,64031.28571428572,17530.0,2241095.0,9.70161242607418,9.771726021353874,23.095238095238095,2684.0,147.22,6.0,0.19047619047619047,0.16666666666666666,8,-17851.033877386424,4018.8935106369563,0.7857142857142857,0.21428571428571427
강원권,강원특별자치도,118,99,19,54634.801801801805,16579.0,6064463.0,9.711497343851285,9.715952428689286,17.89830508474576,7657.5,129.0,6.0,0.11965811965811966,0.08547008547008547,16,28664.908215740106,13361.903254347268,0.8389830508474576,0.16101694915254236
경상권,대구,25,19,6,81347.20833333333,16510.0,1952333.0,9.753562335689155,9.70830750422784,22.2,2375.0,121.0,7.5,0.24,0.2,7,33006.27826733429,15077.418168785509,0.76,0.24
충청권,대전,20,15,5,44435.61111111111,15209.0,799841.0,9.648271895737944,9.629613969350121,26.8,4270.5,154.0,5.0,0.3888888888888889,0.10526315789473684,4,14471.794213819427,2381.969422259479,0.75,0.25
전라권,전남,105,64,41,41420.53465346534,14864.0,4183474.0,9.541833282011149,9.6067647354322,16.17142857142857,6558.0,102.0,5.5,0.07692307692307693,0.10576923076923077,19,25093.701164987182,11084.353784826371,0.6095238095238096,0.3904761904761905
수도권,서울,178,132,46,156325.09302325582,14850.5,26887916.0,9.764802470562664,9.60580548123146,25.724719101123597,1779.2,199.8,8.0,0.3539325842696629,0.2696629213483146,39,13351.017161958656,14275.549161990752,0.7415730337078652,0.25842696629213485
충청권,충북,50,38,12,40909.875,11923.5,1963674.0,9.297762125416499,9.383129695534837,22.86,7819.0,115.0,8.0,0.14,0.08,12,38301.13321245502,11895.225406619007,0.76,0.24
충청권,세종특별자치시,5,5,0,51969.8,11569.0,259849.0,9.51892411111472,9.356170820187725,19.2,9387.0,164.5,8.0,0.4,0.2,0,,,1.0,0.0
전라권,광주,27,13,14,47970.769230769234,8960.0,1247240.0,9.242154894095115,9.100477678276986,20.555555555555557,1992.0,125.0,7.0,0.19230769230769232,0.1111111111111111,2,-9836.55127911855,9836.55127911855,0.48148148148148145,0.5185185185185185
